model,experiment_name,run_root,bin_left,bin_right,bin_label,standalone_total,standalone_correct,standalone_detection_rate
128 W8A8 P50,res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img128/notebook_pruned_qat/res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,1.840943,3.771363,1.84-3.77,70,47,0.671428571429
128 W8A8 P50,res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img128/notebook_pruned_qat/res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,3.771363,5.701783,3.77-5.70,49,48,0.979591836735
128 W8A8 P50,res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img128/notebook_pruned_qat/res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,5.701783,7.632203,5.70-7.63,12,12,1
128 W8A8 P50,res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img128/notebook_pruned_qat/res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,7.632203,9.562623,7.63-9.56,6,6,1
128 W8A8 P50,res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img128/notebook_pruned_qat/res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,9.562623,11.493043,9.56-11.49,6,6,1
128 W8A8 P50,res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img128/notebook_pruned_qat/res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,11.493043,13.423463,11.49-13.42,6,6,1
128 W8A8 P50,res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img128/notebook_pruned_qat/res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,13.423463,15.353883,13.42-15.35,12,12,1
128 W8A8 P50,res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img128/notebook_pruned_qat/res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,15.353883,17.284303,15.35-17.28,6,6,1
128 W8A8 P50,res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img128/notebook_pruned_qat/res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,17.284303,19.214723,17.28-19.21,6,6,1
128 W8A8 P50,res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img128/notebook_pruned_qat/res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,19.214723,21.145143,19.21-21.15,12,12,1
128 W8A8 P50,res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img128/notebook_pruned_qat/res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,21.145143,23.075563,21.15-23.08,6,6,1
128 W8A8 P50,res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img128/notebook_pruned_qat/res128_layers6_W8A8_P50_RFbase_fb320ebb1cb3,23.075563,25.005983,23.08-25.01,6,6,1
256 W8A8 P50,res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,1.840943,3.771363,1.84-3.77,70,62,0.885714285714
256 W8A8 P50,res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,3.771363,5.701783,3.77-5.70,49,47,0.959183673469
256 W8A8 P50,res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,5.701783,7.632203,5.70-7.63,12,11,0.916666666667
256 W8A8 P50,res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,7.632203,9.562623,7.63-9.56,6,6,1
256 W8A8 P50,res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,9.562623,11.493043,9.56-11.49,6,6,1
256 W8A8 P50,res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,11.493043,13.423463,11.49-13.42,6,6,1
256 W8A8 P50,res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,13.423463,15.353883,13.42-15.35,12,12,1
256 W8A8 P50,res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,15.353883,17.284303,15.35-17.28,6,6,1
256 W8A8 P50,res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,17.284303,19.214723,17.28-19.21,6,6,1
256 W8A8 P50,res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,19.214723,21.145143,19.21-21.15,12,12,1
256 W8A8 P50,res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,21.145143,23.075563,21.15-23.08,6,6,1
256 W8A8 P50,res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img256/notebook_pruned_qat/res256_layers7_W8A8_P50_RFbase_ab2fccef6e90,23.075563,25.005983,23.08-25.01,6,6,1
512 W8A8 P50,res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,1.840943,3.771363,1.84-3.77,70,60,0.857142857143
512 W8A8 P50,res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,3.771363,5.701783,3.77-5.70,49,49,1
512 W8A8 P50,res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,5.701783,7.632203,5.70-7.63,12,12,1
512 W8A8 P50,res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,7.632203,9.562623,7.63-9.56,6,6,1
512 W8A8 P50,res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,9.562623,11.493043,9.56-11.49,6,6,1
512 W8A8 P50,res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,11.493043,13.423463,11.49-13.42,6,6,1
512 W8A8 P50,res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,13.423463,15.353883,13.42-15.35,12,12,1
512 W8A8 P50,res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,15.353883,17.284303,15.35-17.28,6,6,1
512 W8A8 P50,res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,17.284303,19.214723,17.28-19.21,6,6,1
512 W8A8 P50,res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,19.214723,21.145143,19.21-21.15,12,12,1
512 W8A8 P50,res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,21.145143,23.075563,21.15-23.08,6,6,1
512 W8A8 P50,res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,/pub/scratch/sdeheredia/Coyote/examples/ml_baseline/hls4ml/artifacts_big_ro/cnn_small_hls_opt_img512/notebook_pruned_qat/res512_layers7_W8A8_P50_RFbase_8e9bd2a664be,23.075563,25.005983,23.08-25.01,6,6,1
